,player,org,region,event,rounds,rating,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS,CS,KMAX,KILLS,DEATHS,ASSISTS,FK,FD
81,LuoK1ng,"['TYL', 'TE']","['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHAMPIONS', 'CHINA']",1033.0,1.18,208.64999999999998,1.0775,79.0,137.65,0.75,0.335,0.075,0.05500000000000001,36.0,,27,702.0,732.0,376.0,35.0,37.0
82,Lysoar,['FPX'],"['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHAMPIONS', 'CHINA', 'MASTERS SHANGHAI', 'MASTERS MADRID']",1634.0,0.915,183.23333333333335,0.9583333333333334,66.5,122.525,0.6383333333333333,0.285,0.06,0.0575,24.5,13.0,29,1095.0,1065.0,494.0,55.0,55.0
83,MAGNUM,['KC'],"['INT', 'EMEA']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'MASTERS MADRID']",1205.0,0.9775,180.775,0.9125,72.0,120.675,0.625,0.32,0.0925,0.1075,26.25,18.75,25,745.0,824.0,392.0,107.0,135.0
84,MaKo,['DRX'],"['INT', 'PACIFIC']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS']",1148.0,1.0574999999999999,192.225,0.9974999999999999,75.25,129.525,0.655,0.385,0.08750000000000001,0.07500000000000001,28.25,12.666666666666666,21,787.0,767.0,431.0,98.0,104.0
85,MarT1n,['JDG'],['CHINA'],"['KICKOFF', 'STAGE 1']",430.0,,196.89999999999998,0.935,,,0.665,0.185,,,,,22,285.0,304.0,86.0,0.0,0.0
86,Marved,['NRG'],['NA'],"['KICKOFF', 'STAGE 1']",417.0,0.95,191.3,0.905,71.0,124.15,0.655,0.32,0.07,0.10500000000000001,27.5,17.5,22,274.0,300.0,126.0,31.0,43.0
87,Mazino,['LEV'],"['NA', 'INT']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS SHANGHAI']",1416.0,0.9725,190.5,0.9620000000000001,74.5,127.66000000000001,0.674,0.36,0.06999999999999999,0.082,28.25,16.333333333333332,34,1038.0,995.0,568.0,105.0,127.0
88,Medusa,['DFM'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",620.0,0.8733333333333334,181.53333333333333,0.8766666666666666,66.33333333333333,123.16666666666667,0.6366666666666667,0.17,0.09999999999999999,0.10666666666666667,32.0,11.333333333333334,22,394.0,445.0,123.0,60.0,72.0
89,Meiy,['DFM'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",620.0,1.0366666666666668,248.23333333333335,1.0866666666666667,69.66666666666667,161.3,0.87,0.15666666666666668,0.20666666666666667,0.17333333333333334,25.666666666666668,12.666666666666666,32,538.0,498.0,94.0,128.0,111.0
90,Melser,['KRÜ'],"['NA', 'INT']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS']",1075.0,1.0125000000000002,177.5,0.9324999999999999,70.25,115.525,0.6150000000000001,0.3175,0.07500000000000001,0.0975,30.5,16.0,23,676.0,711.0,343.0,83.0,102.0
91,Meteor,['GEN'],"['INT', 'PACIFIC']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS SHANGHAI', 'MASTERS MADRID']",2293.0,1.068,221.26666666666665,1.2383333333333333,73.0,146.98333333333335,0.7999999999999999,0.16166666666666665,0.10666666666666665,0.105,29.6,15.6,31,1799.0,1589.0,375.0,264.0,215.0
92,MiniBoo,['TH'],"['INT', 'EMEA']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS MADRID']",1399.0,1.02,218.45999999999998,1.018,69.6,143.1,0.756,0.22600000000000003,0.18200000000000002,0.172,30.2,27.0,26,1076.0,1055.0,327.0,253.0,240.0
