,agents_played,assists,assists_per_round,average_combat_score,average_damage_per_round,clutch_success_percentage,deaths,fd,first_deaths_per_round,first_kills_per_round,fk,headshot_percentage,kill_assists_survived_traded,kill_deaths,kills,kills_per_round,kmax,org,player,rating,rounds,region,event
58,"['kayo', 'omen', 'gekko']",149,0.52,224.2,138.9,22,196,24,0.08,0.12,34,26,76,1.11,217,0.75,28,SEN,TenZ,1.18,289,NA,STAGE 1
59,"['sova', 'fade']",140,0.31,195.4,133.8,12,261,18,0.04,0.06,27,32,78,1.26,328,0.72,24,100T,eeiu,1.16,457,NA,STAGE 1
60,"['viper', 'omen']",144,0.32,210.1,132.1,7,273,41,0.09,0.10,47,33,78,1.24,338,0.74,21,100T,bang,1.15,457,NA,STAGE 1
61,"['fade', 'kayo', 'gekko']",160,0.38,211.5,139.7,19,278,37,0.09,0.07,28,36,76,1.18,327,0.78,26,KRÜ,heat,1.14,420,NA,STAGE 1
62,"['omen', 'brimstone', 'harbor']",198,0.34,212.2,136.3,20,392,50,0.09,0.11,65,27,76,1.15,450,0.77,26,G2,valyn,1.13,584,NA,STAGE 1
63,"['gekko', 'raze', 'kayo']",161,0.35,230.1,145.4,15,315,69,0.15,0.14,66,20,74,1.13,357,0.78,25,100T,Asuna,1.10,457,NA,STAGE 1
64,"['raze', 'reyna', 'jett']",80,0.19,251.2,167.8,10,306,71,0.17,0.20,83,29,70,1.20,366,0.87,27,KRÜ,keznit,1.10,420,NA,STAGE 1
65,"['viper', 'cypher']",91,0.31,187.5,124.9,19,173,19,0.07,0.06,16,27,76,1.12,194,0.67,29,SEN,johnqt,1.09,289,NA,STAGE 1
66,"['viper', 'omen']",205,0.38,205.1,136.6,14,348,37,0.07,0.10,54,30,76,1.14,396,0.73,30,LEV,kiNgg,1.08,544,NA,STAGE 1
67,"['killjoy', 'viper', 'cypher']",119,0.20,221.8,147.8,19,400,59,0.10,0.11,63,24,72,1.15,458,0.78,28,G2,leaf,1.08,584,NA,STAGE 1
68,"['jett', 'raze']",47,0.16,243.4,154.0,19,213,44,0.15,0.23,67,23,72,1.10,234,0.81,23,SEN,zekken,1.08,289,NA,STAGE 1
69,"['fade', 'sova', 'viper']",189,0.32,195.5,131.5,20,376,46,0.08,0.08,47,28,72,1.05,395,0.68,29,G2,trent,1.08,584,NA,STAGE 1
